device_id,id,name,coordinates,precise
NJ615555,382,"Port Newark, NJ ","[-74.14698983552468, 40.69050319579005]",0
NJ615555,383,"Dominican Republic, Port of Rio Haina ","[-70.01572065065542, 18.42020825839416]",0
NJ615555,384,"Dominican Republic, Unverified location, Santiago De Los Caballeros area.","[-70.6922537089533, 19.475758773505344]",0
MI157079,385,Valley City Electronic Recycling,"[-85.59704283023835, 42.90696574648548]",1
MI157079,386,"Unverified location, San Bernadino, CA. ","[-117.28881185863227, 34.10906157511888]",0
MI157079,387,"China, Tianjin Port ","[117.74606316111414, 38.982622823667995]",0
MI157079,388,"China, Tianjin Shi warehouse ","[117.789698, 39.284632]",1
MI157079,389,"China, Shangqiu, Henan ","[115.410953, 34.433973]",1
NH356259,390,Windfield Alloy,"[-71.18500145997378, 42.858252420955615]",0
NH356259,391,"Unverified location, Dover, NH ","[-70.87525758595383, 43.19606443211764]",0
NH356259,392,"Unverified location, Northwood, NH ","[-71.1458240628893, 43.193303890658456]",0
NH356259,393,"Unverified location, Worcester, MA ","[ -71.79950159113359, 42.262587337224964]",0
NH356259,394,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
NH356259,395,"China, Unverified location, Foshan, Guangdong area ","[113.12414400382127, 23.02264968162818]",0
NH356259,396,"China - Another unverified location (Foshan, Guangdong)","[113.12414400382127, 23.02264968162818]",0
NJ615662,397,Yesterday\'s Business Computers,"[-74.64469641687037, 40.487818290934314]",1
NJ615662,398,Port Newark ,"[-74.14698983552468, 40.69050319579005]",0
NJ615662,399,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
NJ615662,400,"Hong Kong, New Territories ","[113.987466, 22.4531]",1
