device_id,id,name,coordinates,precise
MI163960,232,"Hong Kong, New Territories ","[114.02571, 22.412814]",1
MI163960,233,"Taiwan, Kao-hsiung City Port, Unverified location ","[120.28550592248959, 22.600287695119572]",0
MI163960,234,"Taiwan, Keelung City, Unverified location ","[121.74130911097258, 25.12806534185235]",0
MI163960,235,"Taiwan, Zhunan Township, Unverified location ","[120.87977688416747, 24.70332474865474]",0
MI163960,236,"Taiwan, Full AFC Technology Co. LTD ","[120.820191, 24.632458]",1
MI158911,237,Green Earth Electronics Recycling,"[-86.43773283213523, 42.04325723888122]",1
MI158911,238,"Unverified location, South Bend, IN ","[-86.2497953406666, 41.67443453359306]",0
MI158911,239,"Unverified location, Groveport, OH ","[-82.89095697619345, 39.853515177621944]",0
MI158911,240,"Unverified location, City of Industry, CA ","[-117.95713416128936, 34.0176983780788]",0
MI158911,241,"Hong Kong, New Territories ","[114.085639, 22.502381]",1
MI158911,242,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
MI158911,243,"Taiwan, Port of Keelung ","[121.7565526413724, 25.149297630417877]",0
MI158911,244,"Taiwan, Miaoli County, Farm ","[120.88265, 24.664352]",1
MA348371,245,Green Network Exchange,"[-71.14129367443925, 42.50666560832454]",1
MA348371,246,"Canada, Kingston, Unverified location ","[-76.49517999219368, 44.237012893555146]",0
MA348371,247,"Canada, Brampton, Unverified location ","[-79.7621129236814, 43.735040311910545]",0
MA348371,248,"Canada, Barrie, Unverified location ","[-79.69078783205994, 44.39150219602071]",0
MA348371,249,"Canada, Port of Vancouver ","[-123.10969537747143, 49.311940748353905]",0
MA348371,250,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
MA348371,251,"China, Foshan, Guangdong, Unverified location","[113.12414400382127, 23.02264968162818]",0
MI167110,252,Green Tech Recyclers,"[-86.43883513213524, 42.04316010656363]",1
MI167110,253,"Canada, Toronto Recycling ","[-79.389702, 43.85819]",1
MI167110,254,"Canada, Lawrence Metal Recycling ","[-79.270952, 43.758087]",1
MI167110,255,"Canada, Barrie, Unverified location","[-79.69078783205994, 44.39150219602071]",0
CA530101,256,Cal Micro Recycling,"[-117.68010936135055, 34.06146181400116]",1
CA530101,257,Growan Inc. ,"[-118.05439, 34.046738]",1
CA530101,258,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
CA530101,259,"Hong Kong, New Territories ","[114.155034, 22.511]",1
CA545349,260,IMS Recycling,"[-117.0531118037263, 32.93979686950283]",1
CA545349,261,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
CA545349,262,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
CA545349,263,"China, Guangzhou, Guangdong port area ","[113.28144133686642, 23.114204623406167]",0
CA545349,264,"China, Guiyu area, Guangdong","[116.35186285034011, 23.317118673866133]",0
OH160545,265,Inline Computer Recycling,"[-81.52697090307993, 41.056113427244746]",1
OH160545,266,"Unverified location, Oakwood, OH ","[-84.17377522303899, 39.724859956556756]",0
OH160545,267,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
OH160545,268,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
OH160545,269,Hong Kong New Territories,"[114.160157, 22.521313]",1
OH160545,270,"Hong Kong, New Territories ","[114.207772, 22.533514]",1
OH160545,271,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
OH160545,272,"China, Guanyaochong area ","[113.079272, 23.255857]",1
IL166286,273,PCRR,"[-87.7448102321429, 41.89524652981661]",1
IL166286,274,Intercon Solutions ,"[-87.62373, 41.512197]",1
IL166286,275,"Unverified location, Brownsville, TX ","[-97.50099768194218, 25.994852490488288]",0
IL166286,276,"Mexico, Matamoros, MexTek Company.","[-97.544914, 25.881682]",1
WA551396,277,Interconnection,"[-122.34354971833831, 47.649363954151255]",1
WA551396,278,"Unverified location, Chino, CA ","[-117.68712989747965, 34.011361309491235]",0
WA551396,279,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
WA551396,280,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
WA551396,281,"Hong Kong, New Territories, Unverified location ","[114.016853, 22.429514]",0
WA551396,282,"Hong Kong, New Territories, Unverified location","[114.016853, 22.429514]",0
CCA545745,283,All eWaste collection event,"[-118.541739267885, 34.393247873697874]",0
CCA545745,284,"All eWaste warehouse, Sun Valley, CA ","[-118.385998, 34.228201]",1
CCA545745,285,IQA Metals ,"[-117.709722, 34.003262]",1
CCA545745,286,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
CCA545745,287,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
CCA545745,288,"Hong Kong, New Territories ","[113.9652, 22.447456]",1
CA540910,289,ITAD Solutions,"[-122.399794, 37.644729]",1
CA540910,290,T Electronics dba Silicon Valley Recycling ,"[-121.9483680870176, 37.38189261409373]",0
CA540910,291,"Unverified location, Port of Oakland area ","[-122.27911289136276, 37.795632739329115]",0
CA540910,292,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
CA540910,293,"Hong Kong, New Territories ","[114.167515, 22.503568]",1
CA540910,294,"Hong Kong, New Territories ","[114.01718, 22.43878]",1
CA540910,295,"Hong Kong, New Territories, (Unverified location) ","[114.1234, 22.3704]",0
CA540910,296,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
CA540910,297,"Vietnam, Hai Phong Port ","[106.6896459916214, 20.865969580058625]",0
CA540910,298,"Vietnam, Border crossing area to China, Unverified location ","[107.4986724004871, 21.59900225628668]",0
CA540910,299,"China, Guangzhou, Guangdong, Unverified location","[113.2521306963394, 23.192897840407607]",0
MA353728,300,M&K Recovery Group,"[-71.11042370326726, 42.65909397116672]",1
MA353728,301,"Unverified location, Riverside, RI ","[-71.3647210278986, 41.7673478167691]",0
MA353728,302,Techrecyclers LLC ,"[-74.1042601730791, 40.75024286472104]",0
MA353728,303,"Unverified location, Delran, NJ ","[-74.95528328870209, 40.015592498455334]",0
MA353728,304,"Port Newark, NJ ","[-74.14698983552468, 40.69050319579005]",0
MA353728,305,"Hong Kong, New Territories ","[113.988408, 22.461697]",1
