id,device_id,company_name,location,final_location,initial_coords,final_coords,company_position,device_type,certification
70,OR356457,RS David Recycling,"Clackamas, OR","Mexico, Mexicali","[-122.55784315890067, 45.41681437411923]","[-115.414334, 32.567901]",First,CRT,None
71,NJ613543,SAMR Inc,"Lakewood, NJ","Hong Kong, New Territories","[-74.15936753223502, 40.075141481210615]","[114.142596, 22.522354]",First and Last,LCD,None
72,GA161576,Sarah's Trading,"Doraville, GA","Hong Kong, New Territories","[-84.26897834407661, 33.881002132870364]","[114.155149, 22.511108]",First and Last,LCD,None
73,MI156857,Schupan and Sons Inc,"Kalamazoo, MI","China, Guiyu area","[-85.534863, 42.272238]","[116.35186285034011, 23.317118673866133]",First,LCD,R2
74,MI163531-1,Schupan and Sons Inc,"Kalamazoo, MI","Hong Kong, New Territories","[-85.4081982878374, 44.27879707107928]","[114.1234, 22.3704]",Intermediate,LCD,R2
75,FL353546,SEER (Secure Environmental Electronics Recycling),"Tampa, FL",Returned to Port of Hong Kong (via Hong Kong New Territories),"[-82.37648180392094, 27.960981334619493]","[114.133333, 22.333333]",First,LCD,R2
76,NY615795,Sims Recycling Solutions,"Mahwah, NY","Hong Kong, New Territories","[-74.14727477080817, 41.095064569620966]","[114.20025, 22.531212]",First,LCD,R2
77,CA540910-1,T Electronics dba Silicon Valley Recycling,"Santa Clara, CA","China, Guangzhou","[-122.399794, 37.644729]","[113.2521306963394, 23.192897840407607]",Last,Printer,None
78,MA352894-1,TBS Industries,"Philadelphia, PA","Hong Kong, New Territories","[-71.15304421041003, 42.70884038245311]","[113.981538, 22.453303]",Last,Printer,R2
79,MA353728-1,Techrecyclers LLC,"Elizabeth, NJ","China, Qingyuan","[-71.11042370326726, 42.65909397116672]","[113.015697, 23.646378]",Intermediate,Printer,R2
80,OR356457-1,Total Reclaim,"Portland, OR","Mexico, Mexicali","[-122.55784315890067, 45.41681437411923]","[-115.414334, 32.567901]",Last,CRT,e-Stewards
81,OR349759-1,Total Reclaim,"Portland, OR","Hong Kong, New Territories","[-122.70929548961658, 45.61377267580766]","[113.982363, 22.458612]",Last,LCD,e-Stewards
82,OR356028-1,Total Reclaim,"Seattle, WA","Hong Kong, New Territories","[-122.79801104359764, 45.37786787846321]","[114.074766, 22.485588]",Last,LCD,e-Stewards
83,CA551321,Tri-Valley Electronic Waste Recycling,"Stockton, CA",Kenya,"[-121.27593836807723, 37.98535658092174]","[36.855495, -1.317222]",First,LCD,None
84,NV353413-1,TW Recycling,"Los Angeles, CA","Hong Kong, New Territories","[-115.16180688119586, 36.149843415024044]","[114.019274, 22.423244]",Intermediate,LCD,None
85,IL163424-1,UNITEC Recycling Corporation,"West Chicago, IL","United Arab Emirates, Dubai","[-88.02316404563412, 41.91149880787909]","[55.418836, 25.29782]",Intermediate,LCD,None
86,NJ615555,Urban Renewal,"Kerney, NY","Dominican Republic, Santiago de los Caballeros","[-74.10522146596637, 40.72742885789958]","[-70.6922537089533, 19.475758773505344]",First,LCD,None
87,MI157079,Valley City Electronic Recycling,"Kentwood, MI","China, Shangqiu","[-85.59704283023835, 42.90696574648548]","[115.410953, 34.433973]",First,Printer,R2
88,NH356259,Windfield Alloy,"Lawrence, NH","China, Foshan","[-71.18500145997378, 42.858252420955615]","[113.12414400382127, 23.02264968162818]",First,CRT,e-Stewards
89,CA549390-2,WTB Electronics Recycling Import & Export,"Santa Ana, CA","Cambodia, Phnom Penh area","[-118.13098919025249, 34.18319568783581]","[104.91787357108755, 11.569222198370339]",Last,LCD,None
90,NJ615662,Yesterday's Business Computers,"Hillsborough, NJ","Hong Kong, New Territories","[-74.64469641687037, 40.487818290934314]","[113.987466, 22.4531]",First and Last,Printer,None
